2024-04-06 19:13:36.597Z | Internal            | Logger         | Started logging.
2024-04-06 19:27:30.511Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Scp106.
2024-04-06 19:27:43.286Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Ammo12gauge to Inn (76561198942935069@steam).
2024-04-06 19:27:43.486Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Ammo12gauge to Inn (76561198942935069@steam).
2024-04-06 19:27:43.620Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Ammo12gauge to Inn (76561198942935069@steam).
2024-04-06 19:27:43.753Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Ammo12gauge to Inn (76561198942935069@steam).
2024-04-06 19:27:43.903Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Ammo12gauge to Inn (76561198942935069@steam).
2024-04-06 19:27:57.306Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:27:57.555Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:27:57.671Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:27:57.673Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:27:57.675Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:27:57.705Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:28:11.620Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave ArmorLight to Inn (76561198942935069@steam).
2024-04-06 19:28:13.422Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave ArmorCombat to Inn (76561198942935069@steam).
2024-04-06 19:28:15.420Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave ArmorHeavy to Inn (76561198942935069@steam).
2024-04-06 19:28:34.255Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave GrenadeHE to Inn (76561198942935069@steam).
2024-04-06 19:28:41.285Z | Suicide             | Class change   | Inn (76561198942935069@steam), playing as Tutorial, has commited suicide. Specific death reason: Explosion. caused by Inn.
2024-04-06 19:28:46.540Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:29:00.739Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:00.956Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:01.157Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:01.290Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:01.607Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:01.740Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:01.923Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
2024-04-06 19:29:02.073Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave SCP330 to Inn (76561198942935069@steam).
